"";"geneID";"cluster"
"780";"TTLL7";17
"781";"ADCY3";17
"782";"ECM2";17
"783";"PIANP";17
"784";"PODNL1";17
"785";"SLC16A9";17
"786";"TWIST1";17
"787";"PAMR1";17
"788";"SEMA3F";15
"789";"BCAT2";15
"790";"CTNNB1";15
"791";"DUSP5";15
"792";"F11R";15
"793";"GASK1B";15
"794";"GIMAP1";15
"795";"ICAM1";15
"796";"METTL9";15
"797";"MKNK2";15
"798";"PCDH17";15
"799";"PLCG2";15
"800";"PODXL";15
"801";"TLNRD1";15
"802";"C1orf115";15
"803";"KIF26A";15
"804";"NRN1";15
"805";"SEMA3F";15
"806";"PTPN13";6
"807";"BGN";6
"808";"CALD1";6
"809";"CCPG1";6
"810";"COL5A1";6
"811";"CREB3L1";6
"812";"ERRFI1";6
"813";"FBLN5";6
"814";"FGFR1";6
"815";"FGL2";6
"816";"FSTL1";6
"817";"GFPT1";6
"818";"HEPH";6
"819";"IGFBP2";6
"820";"ITGB5";6
"821";"KDELR3";6
"822";"LRP1";6
"823";"MEG3";6
"824";"MRC2";6
"825";"OGN";6
"826";"TENT5A";6
"827";"TIMP3";6
"828";"TRPS1";6
"829";"ACAN";6
"830";"ARHGAP21";6
"831";"CERCAM";6
"832";"CRISPLD1";6
"833";"FMOD";6
"834";"FNDC1";6
"835";"FOXP4";6
"836";"GLIS2";6
"837";"LOX";6
"838";"PSD3";6
"839";"PTPN13";6
"840";"COL12A1";59
"841";"C1QTNF1";59
"842";"CCND2";59
"843";"DYRK2";59
"844";"FBN1";59
"845";"PIP4K2A";59
"846";"COL12A1";59
"847";"COPZ2";12
"848";"C1R";12
"849";"C1S";12
"850";"CALU";12
"851";"CGNL1";12
"852";"COL8A1";12
"853";"CYBRD1";12
"854";"FN1";12
"855";"FTH1";12
"856";"LTBP2";12
"857";"LTBP4";12
"858";"MEDAG";12
"859";"MGP";12
"860";"MT1E";12
"861";"OMD";12
"862";"PCDH7";12
"863";"RCAN3";12
"864";"TIMP1";12
"865";"COL8A2";12
"866";"COPZ2";12
"867";"XG";49
"868";"CA5B";49
"869";"TMEM45A";49
