symbol	all	control	tgf	tnf	mix
P4HA2	3	3	8	8	2
NFATC3	6	6	1	7	9
STK10	9	3	9	8	7
AP1M1	9	7	6	7	9
PVR	7	1	5	4	4
MCM2	5	8	5	5	4
SELENOO	7	1	5	4	4
CLCN4	3	2	8	6	2
SDHA	4	4	3	4	4
SMARCE1	4	4	9	6	6
GSDMB	6	7	6	7	9
PPP2R3A	9	1	6	7	9
FERMT2	4	2	9	4	2
DHRS9	7	5	5	4	4
PTGS2	8	3	4	1	1
ST6GAL1	8	4	4	8	7
FRY	7	5	5	5	4
PICALM	4	4	9	6	6
GLI2	9	3	6	6	2
MRPS34	7	1	9	4	6
CLNS1A	4	4	3	4	7
EED	4	1	4	6	6
CA12	9	9	4	6	7
MGLL	5	1	5	4	4
NTN4	3	9	8	8	6
BCS1L	7	1	5	4	7
NUAK1	3	1	6	8	2
LMAN1	4	4	9	6	9
HACD3	4	1	3	6	6
IPCEF1	9	7	6	6	9
ENO1	7	1	5	4	4
MYDGF	4	1	9	4	2
TIPIN	7	1	3	4	7
SRI	4	5	3	4	7
EIF4G3	4	4	3	6	6
SEMA3A	3	7	8	1	2
GTSE1	5	8	5	5	4
SEMA3C	3	6	7	1	1
CELSR1	9	3	8	6	2
SLC25A40	4	4	3	8	7
ADD2	6	6	1	7	9
SLC25A3	4	4	3	4	6
FNDC3B	9	2	6	8	2
FOSL2	8	3	4	9	7
TMEM131	4	1	9	4	6
FSCN1	9	3	6	4	9
ACTB	7	1	9	5	7
PLD1	7	1	2	8	4
DLG1	4	1	3	5	9
KIFAP3	8	3	4	1	6
MCM6	5	8	5	5	4
REXO2	4	4	4	6	6
PTPN23	9	9	3	4	7
MLH1	4	4	3	6	4
UNG	7	1	3	6	4
PLXNA2	7	4	5	5	4
SPAG5	5	8	5	5	4
PAG1	9	7	6	7	6
NT5C2	8	3	4	8	2
MCAM	5	5	5	4	7
STXBP2	9	9	4	8	9
MAP2K7	9	7	6	7	9
DGKD	9	7	9	7	9
RARB	4	1	4	8	7
TOP2B	4	4	4	6	7
TM9SF3	4	4	3	4	6
NFKB2	8	3	2	9	8
UBE2T	5	8	5	5	4
IL4R	8	2	1	8	2
SNRPA	7	9	3	4	7
DYNC1I2	9	7	6	8	9
FAM76B	4	4	9	6	6
CAPZB	7	1	9	4	9
JADE1	4	1	3	6	6
FGFR1	9	9	8	6	7
MAP2	7	1	2	6	4
PIAS2	6	6	1	7	9
LAMP3	8	1	4	8	7
UBE2K	4	4	4	8	6
TIGAR	4	4	8	8	2
SYNJ2	8	1	6	8	7
EDN1	3	3	8	7	2
ITM2A	7	9	4	4	5
VDAC3	4	5	3	4	4
ITCH	6	6	1	7	9
MYH7B	9	7	6	7	9
UBE2D4	6	6	1	7	9
RUNX1T1	7	5	5	6	4
OSBPL6	6	6	1	7	9
XRCC5	4	4	3	4	6
LXN	7	1	3	6	4
TNS1	3	4	8	5	2
CEACAM1	9	7	4	8	2
CIC	9	7	6	6	7
PAFAH1B3	9	9	9	6	7
KIF22	5	8	5	5	5
CARMIL1	6	6	1	7	9
DDX1	4	4	8	6	2
EPB41L2	7	5	3	4	4
RIMS1	3	9	8	6	6
STX7	9	1	9	8	6
RIF1	7	4	9	4	9
SMARCA2	7	1	9	6	7
CLDND1	4	4	3	4	6
RBL1	7	1	3	4	7
DLGAP4	9	9	6	6	9
NDC80	5	8	3	5	5
CXCL2	2	3	2	2	8
TCF7	6	9	6	7	9
CDH7	6	6	8	7	9
MEF2C	7	5	5	6	4
STK17B	7	1	9	6	6
LRP2	9	6	6	6	9
ZNF506	9	7	6	7	6
AACS	9	7	6	6	2
SLC13A1	9	7	6	7	7
CADPS2	7	1	2	4	7
ATP8B1	4	1	3	6	6
BZW1	7	5	3	4	4
ME2	9	7	6	7	9
FAM135A	9	9	9	6	7
COL19A1	6	6	1	7	9
EPB41L3	4	4	3	4	6
SERTAD4	3	7	7	6	1
TRAF5	9	7	6	7	9
GEMIN5	4	4	3	4	6
NFE2L1	4	1	2	8	6
GSK3B	4	4	9	6	6
ITGB5	7	1	8	5	4
ERC1	4	1	3	4	4
XPO1	4	8	9	6	6
TNPO1	9	1	6	8	7
PLOD1	3	1	8	6	2
CYLD	8	3	2	9	8
ZNF264	9	7	6	7	7
FAT1	3	7	8	6	2
REST	4	4	9	6	9
SSH1	8	3	9	8	7
GSTP1	9	3	8	8	2
APLP2	7	1	2	4	4
WBP11	5	4	3	4	4
NCOA1	6	6	1	7	9
AGBL5	6	7	1	7	9
EFR3B	6	6	1	7	9
GCKR	7	1	4	4	4
CD59	7	5	2	4	4
CD82	8	7	6	1	9
MECOM	9	3	6	6	2
PREP	4	4	8	6	6
AKR1B1	7	5	5	4	4
CPNE3	7	1	5	4	4
CTTN	6	6	4	8	7
DDHD2	4	1	4	6	6
MGST2	4	4	8	6	6
USP40	7	1	6	4	7
DNAJA1	8	4	4	9	8
B4GALT1	8	3	3	9	7
CHMP5	8	4	4	1	2
DIMT1	4	4	3	6	6
IPO11	7	5	5	4	7
EIF2AK1	4	4	4	6	6
MRPL28	9	9	9	6	7
ITPKC	7	1	5	4	7
RBM22	7	1	3	4	6
TMED2	9	3	1	7	2
HSD17B2	7	5	9	4	4
HUWE1	7	1	9	4	4
ZW10	4	4	3	4	6
NOX4	3	3	7	6	2
ACOX3	3	3	8	6	2
PPP1R15A	7	5	5	9	4
HSD17B14	7	1	2	4	4
TRIP6	7	1	9	8	6
ACHE	8	2	9	8	9
FTL	7	9	9	4	4
BAX	6	7	1	7	7
PIGS	9	1	4	6	6
ATXN7L3	9	3	9	6	9
MMP2	3	6	7	6	1
LPCAT2	9	7	8	6	4
OGFOD1	9	1	6	8	2
RTRAF	9	3	6	7	7
KLHL42	9	3	8	6	2
GNAS	4	1	6	8	6
PTHLH	4	8	8	4	2
AURKA	5	8	5	5	5
PIR	7	5	2	4	4
RFX2	3	3	8	6	2
METTL2A	6	6	1	7	9
TPX2	5	8	5	5	5
EPB41L1	3	1	8	6	2
DOCK9	4	1	4	6	4
C3orf18	9	7	4	6	9
CRLS1	4	4	3	6	6
MAVS	9	7	6	7	7
DYNLL1	9	7	6	7	6
SNX5	4	1	4	4	4
RPL6	7	1	9	5	7
P2RX7	9	7	6	7	7
SLC23A2	7	5	9	4	7
OAS1	1	9	2	3	3
RPLP0	7	1	9	5	4
PXN	7	5	5	4	4
NOS1	9	7	6	7	7
FUS	4	4	4	5	7
IGBP1	9	9	9	6	7
FXYD5	9	9	9	6	9
ZNF302	6	7	1	7	9
CDIP1	9	1	9	6	9
GANAB	7	1	3	4	7
BIRC5	5	8	5	5	4
MLF2	4	1	3	4	6
DDX24	4	1	3	6	7
NECAP1	4	4	4	8	6
DHX32	4	4	4	4	6
RCOR1	4	1	3	4	6
GPATCH2L	9	1	6	8	9
LTBP4	3	7	8	6	2
BLVRB	9	9	6	8	6
SLC9A1	7	1	5	4	7
CCNK	9	3	6	6	9
YPEL3	9	9	6	7	9
NDUFB2	9	1	6	6	6
NUDC	7	1	5	4	7
ICAM1	2	2	2	2	8
TFAP4	9	7	6	7	9
DNAJB11	4	4	3	6	2
P3H2	3	9	8	8	2
FLT3LG	8	7	6	8	9
ZNF268	6	6	1	7	9
PABPC4	7	1	5	5	4
EFNB1	8	2	2	9	7
KIF4A	5	8	5	5	5
PLEKHG2	9	7	6	7	9
NAT14	9	9	3	6	9
OSBPL8	3	2	1	6	2
NRCAM	5	2	2	9	4
LAMB1	4	1	3	6	6
IL5RA	6	6	6	7	9
CMTM6	7	9	3	8	7
ITGA6	5	8	3	4	5
RAPGEF4	9	7	6	7	9
MAP3K20	7	7	6	4	7
FH	7	1	3	4	4
SEL1L3	7	5	3	4	6
CDV3	8	4	4	9	7
MYO15A	6	6	1	7	9
ALKBH5	7	5	5	4	7
SPAG7	7	1	9	4	7
ZFHX4	9	9	6	8	4
ANGPT2	8	7	6	1	7
CD200	7	1	3	6	4
CCDC80	3	3	8	7	2
PSME1	8	3	2	1	1
SCFD1	4	4	3	8	6
G2E3	4	8	3	6	6
HECTD1	7	1	9	4	7
HNRNPC	4	4	3	4	7
RPGRIP1	9	7	6	7	2
SUPT16H	7	5	5	4	7
TYRO3	9	7	6	7	7
SNAP23	8	3	3	8	2
TBX15	9	9	1	6	2
AGO1	7	1	3	4	7
CLSPN	5	8	5	5	9
UNC13D	9	7	8	6	2
DPYSL2	7	1	3	4	4
TGFB2	3	6	7	8	1
CDC45	4	4	3	4	4
LRRFIP2	4	2	2	4	4
CDC6	7	4	5	5	4
CDC23	4	4	3	4	6
AAAS	7	8	3	4	7
CBX5	9	7	9	5	7
MSH2	4	4	3	4	4
MAP3K1	9	9	6	9	7
ARCN1	4	4	3	6	6
PSMD5	4	4	5	4	6
PTGS1	7	2	2	8	4
SH2D3C	7	1	3	5	4
TBC1D2	4	5	8	5	6
TLL2	9	9	1	7	9
CRTAC1	7	1	3	4	4
NUBP2	7	1	3	5	7
HIVEP1	4	2	3	4	6
FKBP5	7	5	5	4	4
BRPF3	4	4	9	4	6
RPS18	7	1	4	5	4
HSP90AB1	4	4	3	4	6
ITPR3	7	4	5	4	6
HNRNPH3	4	8	4	4	4
ABL1	9	3	4	7	2
ACOT7	4	4	5	4	6
SH3GLB1	4	4	4	4	6
PCSK5	9	9	6	7	8
SCD	9	3	4	8	2
ABLIM1	9	9	8	6	9
ERMP1	7	1	3	6	4
RAB18	4	4	4	6	6
NRP1	7	1	3	6	7
PALMD	7	5	9	6	5
WASHC2A	8	1	3	8	9
MAST3	9	7	6	7	9
PSMD8	4	3	3	4	6
HSD3B7	9	9	6	8	7
CIRBP	7	5	3	5	4
ATP5F1D	9	9	9	6	7
CBARP	9	1	9	8	7
HNRNPM	7	4	5	4	7
MARCHF2	9	9	6	7	7
TECR	9	7	9	6	9
CDC34	9	9	6	4	7
POLR2E	9	3	4	4	7
HCN2	9	7	9	6	7
GADD45B	3	2	8	5	2
PALM	9	9	2	8	7
MKNK2	7	5	5	4	4
RANBP1	5	4	5	5	4
MED15	6	6	6	7	9
SERPIND1	5	2	2	9	5
BCL2L13	4	2	9	8	6
SF3A1	7	4	3	4	4
GGT5	7	9	2	5	5
RNF215	6	6	6	7	9
PPM1F	7	5	5	4	4
MFNG	7	5	3	5	5
GGA1	9	9	6	8	9
LGALS1	9	9	9	8	9
PIK3IP1	9	7	6	8	2
TRIOBP	7	1	9	5	4
EIF3L	7	1	3	5	4
TTC28	9	7	6	7	7
CENPM	5	8	5	5	4
KDELR3	3	3	8	6	2
DDX17	9	1	6	6	6
DMC1	9	7	9	6	7
TOMM22	7	1	3	4	7
XBP1	4	2	9	4	6
GTPBP1	9	3	4	8	6
HMGXB4	4	4	3	4	6
HMOX1	5	4	2	9	5
MCM5	5	8	5	5	5
TSPO	9	9	3	8	6
TTLL12	7	5	5	4	4
PDGFB	8	2	5	4	8
RPL3	9	9	8	5	7
MIEF1	4	1	9	6	7
APOL1	8	7	2	1	2
MYH9	9	3	6	8	2
TXN2	9	9	9	4	7
FOXRED2	4	1	4	6	4
EIF3D	7	1	3	4	4
TNRC6B	6	6	1	7	9
KIAA0930	9	9	6	8	7
CSF2RB	8	1	4	1	6
FAM118A	9	3	6	7	2
ST13	7	1	3	4	4
RBX1	4	4	5	4	7
RANGAP1	8	3	2	9	7
ZC3H7B	8	3	2	1	8
TRMU	5	8	3	5	4
PMM1	9	7	8	6	6
DESI1	4	2	2	8	6
CERK	7	1	9	5	7
BRD1	4	4	3	4	7
HDAC10	9	9	9	6	9
ABHD4	7	1	3	6	6
POLE2	7	5	3	5	7
CDKN3	5	8	5	5	5
CNIH1	4	4	4	4	6
PLEK2	4	4	3	6	2
PSMA3	8	2	2	8	6
VTI1B	7	1	3	6	4
GSTZ1	9	7	6	6	9
DAAM1	9	7	6	7	9
LGMN	8	2	3	8	2
SNW1	4	1	9	4	7
PPM1A	9	4	9	6	6
HIF1A	7	1	9	4	7
SRSF5	4	4	4	4	6
EIF5	4	1	3	4	7
ZFYVE21	7	1	4	4	4
MTHFD1	7	4	5	4	6
TELO2	7	1	3	5	4
PCNX1	9	3	6	8	6
VRK1	7	1	5	6	7
PAPLN	8	7	6	1	9
RPS6KA5	6	7	6	7	2
YY1	6	6	1	7	9
ACIN1	7	1	5	4	7
APEX1	7	5	3	5	7
ARHGAP5	4	4	9	6	6
DHRS2	9	7	9	7	7
CHD8	9	7	6	6	9
NFKBIA	2	2	2	2	8
PSME2	1	6	4	3	1
REC8	9	9	4	8	2
SEC23A	9	3	6	6	2
GMPR2	4	1	4	6	6
PNN	4	4	3	4	6
NFATC4	9	3	9	6	9
PLTP	6	6	6	8	9
PROCR	5	5	5	5	6
GINS1	7	7	9	6	4
CD40	4	1	4	4	7
ZMYND8	7	5	3	6	4
MYBL2	5	8	5	5	5
HNF4A	6	6	1	7	9
RAB5IF	4	4	9	4	6
STK4	9	7	1	8	9
SALL4	6	7	1	7	9
ADNP	9	7	6	7	9
DOK5	7	3	2	4	4
CTSZ	3	7	8	8	2
PSMA7	9	9	6	8	7
NTSR1	7	7	5	4	7
DIDO1	7	1	9	4	7
GID8	7	4	3	4	7
SLC17A9	3	3	9	6	2
ARFGAP1	9	1	8	8	2
C20orf27	7	1	5	5	4
CDC25B	5	8	5	5	5
RNF24	9	7	6	8	7
RASSF2	7	1	9	4	7
HM13	7	1	9	4	7
MYLK2	3	3	8	5	2
SEC23B	4	4	6	8	6
CCM2L	9	1	8	5	9
PLCB4	3	7	7	6	1
MYL9	3	9	7	6	3
HCK	6	6	6	7	9
TLDC2	8	1	3	1	2
SAMHD1	1	7	2	3	3
KIF3B	6	6	1	7	9
NOP56	4	4	5	4	7
MAPRE1	4	4	3	4	6
JAG1	8	2	6	9	1
E2F1	5	8	5	5	4
PXMP4	9	9	6	6	2
CHMP4B	8	3	4	4	6
CST3	8	1	2	8	9
CST4	1	7	1	3	3
PPP1R16B	7	5	4	6	4
FAM83D	5	8	4	5	5
MAP1LC3A	6	6	6	7	9
PIGU	9	7	6	7	7
CELF4	6	7	6	7	9
USP14	4	4	3	4	6
METTL4	4	1	9	6	6
